Date,Price,Open,High,Low,Change %
"Jan 31, 2017",67.515,67.844,67.918,67.455,-0.46%
"Jan 30, 2017",67.829,68.106,68.12,67.755,-0.41%
"Jan 27, 2017",68.105,68.191,68.255,68.015,-0.10%
"Jan 26, 2017",68.176,67.985,68.234,67.965,0.28%
"Jan 25, 2017",67.988,68.137,68.2,67.97,-0.22%
"Jan 24, 2017",68.138,68.05,68.18,68.04,0.13%
"Jan 23, 2017",68.051,68.081,68.233,68,-0.04%
"Jan 20, 2017",68.075,68.115,68.295,67.978,-0.04%
"Jan 19, 2017",68.1,68.222,68.319,68.069,-0.18%
"Jan 18, 2017",68.22,67.853,68.22,67.853,0.53%
"Jan 17, 2017",67.862,68.103,68.158,67.855,-0.35%
"Jan 16, 2017",68.103,68.168,68.28,68.07,-0.11%
"Jan 13, 2017",68.18,68.15,68.29,68.097,0.06%
"Jan 12, 2017",68.141,68.195,68.196,67.95,-0.25%
"Jan 11, 2017",68.312,68.37,68.546,68.223,-0.02%
"Jan 10, 2017",68.327,68.11,68.351,67.988,0.33%
"Jan 09, 2017",68.1,68.116,68.305,68.07,-0.02%
"Jan 06, 2017",68.115,67.755,68.198,67.755,0.55%
"Jan 05, 2017",67.743,67.895,68.013,67.73,-0.21%
"Jan 04, 2017",67.886,68.28,68.3,67.85,-0.55%
"Jan 03, 2017",68.26,68.147,68.438,68.045,0.17%
"Jan 02, 2017",68.145,67.951,68.231,67.906,0.28%
